#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device,name,type
,,0,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-18T01:44:00Z,27.837572254335267,value,t_00f3c9a2-406847d7,LocalKepServerDozarePompare,SilozGL_Temp56,Float
,,0,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-18T22:40:00Z,27.2,value,t_00f3c9a2-406847d7,LocalKepServerDozarePompare,SilozGL_Temp56,Float
,,0,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-19T19:36:00Z,26,value,t_00f3c9a2-406847d7,LocalKepServerDozarePompare,SilozGL_Temp56,Float
,,0,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-20T06:04:00Z,26,value,t_00f3c9a2-406847d7,LocalKepServerDozarePompare,SilozGL_Temp56,Float
,,0,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-20T16:32:00Z,27.742704626334323,value,t_00f3c9a2-406847d7,LocalKepServerDozarePompare,SilozGL_Temp56,Float
,,0,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-21T03:00:00Z,27.697920372144665,value,t_00f3c9a2-406847d7,LocalKepServerDozarePompare,SilozGL_Temp56,Float
,,0,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-21T13:28:00Z,27.66671894058258,value,t_00f3c9a2-406847d7,LocalKepServerDozarePompare,SilozGL_Temp56,Float
,,0,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-21T23:56:00Z,27.63150289017329,value,t_00f3c9a2-406847d7,LocalKepServerDozarePompare,SilozGL_Temp56,Float
,,1,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-18T01:44:00Z,30,value,t_0bb9c9c3-32f24427,LocalKepServerDozarePompare,SilozGR_Temp8,Float
,,1,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-18T22:40:00Z,26.279999999999994,value,t_0bb9c9c3-32f24427,LocalKepServerDozarePompare,SilozGR_Temp8,Float
,,1,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-19T19:36:00Z,29.199999999999918,value,t_0bb9c9c3-32f24427,LocalKepServerDozarePompare,SilozGR_Temp8,Float
,,1,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-20T06:04:00Z,29.20000000000003,value,t_0bb9c9c3-32f24427,LocalKepServerDozarePompare,SilozGR_Temp8,Float
,,1,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-20T16:32:00Z,27.695515463917392,value,t_0bb9c9c3-32f24427,LocalKepServerDozarePompare,SilozGR_Temp8,Float
,,1,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-21T03:00:00Z,27.678139252052983,value,t_0bb9c9c3-32f24427,LocalKepServerDozarePompare,SilozGR_Temp8,Float
,,1,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-21T13:28:00Z,27.72420704417256,value,t_0bb9c9c3-32f24427,LocalKepServerDozarePompare,SilozGR_Temp8,Float
,,1,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-21T23:56:00Z,27.56198083067079,value,t_0bb9c9c3-32f24427,LocalKepServerDozarePompare,SilozGR_Temp8,Float
,,2,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-18T01:44:00Z,28.038271604938277,value,t_70648d83-694d47d8,LocalKepServerDozarePompare,SilozGR_Temp1,Float
,,2,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-18T22:40:00Z,25.28,value,t_70648d83-694d47d8,LocalKepServerDozarePompare,SilozGR_Temp1,Float
,,2,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-19T19:36:00Z,26,value,t_70648d83-694d47d8,LocalKepServerDozarePompare,SilozGR_Temp1,Float
,,2,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-20T06:04:00Z,26,value,t_70648d83-694d47d8,LocalKepServerDozarePompare,SilozGR_Temp1,Float
,,2,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-20T16:32:00Z,27.630307467057097,value,t_70648d83-694d47d8,LocalKepServerDozarePompare,SilozGR_Temp1,Float
,,2,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-21T03:00:00Z,27.823185265438713,value,t_70648d83-694d47d8,LocalKepServerDozarePompare,SilozGR_Temp1,Float
,,2,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-21T13:28:00Z,27.64200000000002,value,t_70648d83-694d47d8,LocalKepServerDozarePompare,SilozGR_Temp1,Float
,,2,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-21T23:56:00Z,27.690295358649784,value,t_70648d83-694d47d8,LocalKepServerDozarePompare,SilozGR_Temp1,Float
,,3,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-18T01:44:00Z,27.933606557377068,value,t_7806d215-c93e484f,LocalKepServerDozarePompare,SilozGL_Temp80,Float
,,3,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-18T22:40:00Z,27.6,value,t_7806d215-c93e484f,LocalKepServerDozarePompare,SilozGL_Temp80,Float
,,3,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-19T19:36:00Z,28,value,t_7806d215-c93e484f,LocalKepServerDozarePompare,SilozGL_Temp80,Float
,,3,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-20T06:04:00Z,28,value,t_7806d215-c93e484f,LocalKepServerDozarePompare,SilozGL_Temp80,Float
,,3,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-20T16:32:00Z,27.616404494381857,value,t_7806d215-c93e484f,LocalKepServerDozarePompare,SilozGL_Temp80,Float
,,3,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-21T03:00:00Z,27.66806282722588,value,t_7806d215-c93e484f,LocalKepServerDozarePompare,SilozGL_Temp80,Float
,,3,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-21T13:28:00Z,27.666871812907146,value,t_7806d215-c93e484f,LocalKepServerDozarePompare,SilozGL_Temp80,Float
,,3,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-21T23:56:00Z,27.637600585222966,value,t_7806d215-c93e484f,LocalKepServerDozarePompare,SilozGL_Temp80,Float
,,4,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-18T01:44:00Z,27.753554502369703,value,t_7bfb7a17-83224041,LocalKepServerDozarePompare,SilozGL_Temp39,Float
,,4,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-18T22:40:00Z,26.839999999999996,value,t_7bfb7a17-83224041,LocalKepServerDozarePompare,SilozGL_Temp39,Float
,,4,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-19T19:36:00Z,30,value,t_7bfb7a17-83224041,LocalKepServerDozarePompare,SilozGL_Temp39,Float
,,4,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-20T06:04:00Z,30,value,t_7bfb7a17-83224041,LocalKepServerDozarePompare,SilozGL_Temp39,Float
,,4,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-20T16:32:00Z,27.648786407766814,value,t_7bfb7a17-83224041,LocalKepServerDozarePompare,SilozGL_Temp39,Float
,,4,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-21T03:00:00Z,27.6807709750573,value,t_7bfb7a17-83224041,LocalKepServerDozarePompare,SilozGL_Temp39,Float
,,4,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-21T13:28:00Z,27.689345215033455,value,t_7bfb7a17-83224041,LocalKepServerDozarePompare,SilozGL_Temp39,Float
,,4,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-02-21T23:56:00Z,27.68430744595665,value,t_7bfb7a17-83224041,LocalKepServerDozarePompare,SilozGL_Temp39,Float
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-12T21:00:00Z,0.500171174255392,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-13T07:28:00Z,0.5001345895020188,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-13T17:56:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-14T04:24:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-14T14:52:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-15T01:20:00Z,0.5001345895020188,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-15T11:48:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
